D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
291.602	21.2363	2171.21	14811	13763.7	2919.52	36623.7	1073.73	239.921	202.397	74	11870	100	
241.451	24.9563	4242.13	18529.5	13199	14684	55232.3	1230.76	246.842	766.334	74	11740	100	
67.3962	5.49506	864.664	2631.13	1843.5	2185.8	7625.31	165.895	40.6333	117.574	74	8860	100	
103.706	10.1219	1183.18	7538.79	2531.1	873.436	13330.8	424.693	55.5329	60.9543	74	10580	100	
133.546	8.09372	484.385	2548.32	1931.85	280.472	4761.09	205.259	39.7462	25.0116	74	9350	100	
260.255	18.032	1414.4	11084.6	6308.74	1169.15	21604.7	779.244	113.531	82.9466	74	11670	100	
208.741	17.7707	2246.86	13959.4	8412.47	2381.31	33365	923.933	153.406	160.823	74	11740	100	
71.1259	5.28579	559.651	2369.7	1239.73	303.385	3919.11	147.594	29.9743	25.0466	74	8860	100	
71.1953	8.50648	1210.73	8175.45	2232.13	456.565	10867.5	430.472	52.2408	29.9227	74	10380	100	
58.7075	6.63541	1087.03	6368.4	1827.48	902.936	10143.8	335.064	44.0707	55.2955	74	9790	100	
61.9816	5.36577	721.461	3827.82	1431.07	440.345	6218.3	214.4	34.6803	32.6944	74	9180	100	
86.5455	5.75369	443.941	1195.11	1169.42	264.828	2642.47	99.7005	27.4894	24.5458	74	8640	100	
145.056	17.6948	5524.61	14017.9	6088.12	22613.3	46232.9	799.063	124.878	1051.97	74	11220	100	
97.7058	8.19158	1187.92	5116.57	3148.34	2645.96	13568.4	314.084	64.381	150.163	74	9760	100	
212.148	15.2893	1197.37	7967.71	8136.21	2001.81	20318.4	562.699	146.703	145.165	74	10909	100	
64.0993	11.3144	3917.38	12656.8	3337.86	12992.1	31913	676.312	77.2877	598.716	74	11110	100	
112.838	12.8876	2417.27	10024.7	3586.19	6042.22	25827.8	575.397	77.2991	307.21	74	11041	100	
259.398	17.7144	1328.84	10864.5	5412.55	784.413	19023.8	763.612	103.214	55.2724	74	11670	100	
109.751	13.7323	2167.72	15481	4985.71	1193.42	26311.6	920.299	108.009	74.7271	74	11710	100	
28.432	5.98984	3006.94	8371.05	1920.31	11208.9	21674.9	431.102	50.5553	515.563	74	8780	100	
62.8183	6.08978	1537.15	3923.78	1598.42	5204.98	12003.9	219.143	38.5456	251.062	74	9180	100	
77.2958	4.92183	392.756	1266.12	1351.6	319.946	2937.15	104.521	30.1966	27.1413	74	8640	100	
141.545	9.7594	690.824	3939.79	2250.31	524.054	7733.34	272.889	45.9352	39.9532	74	10010	100	
101.636	8.96019	1038.82	6055.42	2269.21	957.254	12336.9	351.299	49.805	68.4544	74	10170	100	
373.645	22.929	1545.22	14124.1	12278.8	1625.18	28028.1	1090.19	209.354	116.934	74	12205	100	
207.203	13.9847	837.537	5926.44	3097.81	383.241	9458.85	407.211	60.7734	28.7247	74	10909	100	
214.047	21.1482	3362.4	11299.1	9614.29	13039.8	35710.6	734.152	177.955	646.68	74	11020	100	
220.774	14.004	822.498	5416.18	5522.93	1089.9	12519	410.481	100.254	81.1269	74	10650	100	
111.701	12.0425	1474.65	9905.99	3273.99	1195.23	18340	569.53	70.9619	82.4388	74	11041	100	
284.029	23.5994	1577.24	11286.6	13639.9	3031.35	30240.7	849.151	238.761	217.672	74	11270	100	
198.592	12.1863	730.158	4807.09	5574.84	1045.63	11427.6	379.512	101.33	79.8841	74	10017	100	
