D_HDN    D_MFI VPCT     VPPD_Nor VPPD_Cen VPPD_Sur VPPD_Tot CMg_Nor  CMg_Cen  CMg_Sur  Capital  Dem_Tot  Ccapital
62	4	435	587	1077	412	2076	57	31	37	74	8118	100
61	5	620	732	1343	514	2589	71	38	46	56	8118	75
81	5	511	628	1153	441	2222	61	33	39	56	8118	75
82	6	432	587	1077	412	2076	57	31	37	56	8118	75
31	2	628	732	1343	514	2589	71	38	46	111	8118	150
41	3	519	628	1153	441	2222	61	33	39	111	8118	150
41	3	440	587	1077	412	2076	57	31	37	111	8118	150
76	3	779	895	1643	1294	3832	86	47	115	74	8118	100
47	2	609	703	1291	1016	3009	68	37	90	74	8118	100
29	2	550	622	1142	898	2662	60	32	80	74	8118	100
102	4	776	895	1643	1294	3832	86	47	115	56	8118	75
63	3	606	703	1291	1016	3009	68	37	90	56	8118	75
38	3	547	622	1142	898	2662	60	32	80	56	8118	75
51	2	785	895	1643	1294	3832	86	47	115	111	8118	150
31	2	614	703	1291	1016	3009	68	37	90	111	8118	150
19	2	556	622	1142	898	2662	60	32	80	111	8118	150
397	36	5682	47467	72171	14958	134596	3664	1230	1075	74	12205	100
381	34	4108	33961	19275	2148	55385	2622	329	154	74	12205	100
371	35	4059	35086	19455	1883	56423	2708	332	135	74	12205	100
529	48	5679	47467	72171	14958	134596	3664	1230	1075	56	12205	75
508	45	4105	33961	19275	2148	55385	2622	329	154	56	12205	75
495	46	4056	35086	19455	1883	56423	2708	332	135	56	12205	75
265	24	5688	47467	72171	14958	134596	3664	1230	1075	111	12205	150
254	22	4114	33961	19275	2148	55385	2622	329	154	111	12205	150
248	23	4064	35086	19455	1883	56423	2708	332	135	111	12205	150
379	24	6224	48928	61938	28787	139652	3777	1056	2069	74	12205	100
352	22	3530	35610	35518	14596	85725	2749	605	1049	74	12205	100
325	22	2727	28333	13793	2240	44365	2187	235	161	74	12205	100
505	32	6221	48928	61938	28787	139652	3777	1056	2069	56	12205	75
469	29	3528	35610	35518	14596	85725	2749	605	1049	56	12205	75
433	30	2724	28333	13793	2240	44365	2187	235	161	56	12205	75
253	16	6229	48928	61938	28787	139652	3777	1056	2069	111	12205	150
234	14	3536	35610	35518	14596	85725	2749	605	1049	111	12205	150
217	15	2732	28333	13793	2240	44365	2187	235	161	111	12205	150
369	22	2579	24554	15406	1001	40960	1895	263	72	74	12205	100
386	22	2078	14876	7594	669	23140	1148	129	48	74	12205	100
401	23	2143	17269	7901	589	25759	1333	135	42	74	12205	100
492	30	2576	24554	15406	1001	40960	1895	263	72	56	12205	75
515	30	2075	14876	7594	669	23140	1148	129	48	56	12205	75
535	30	2140	17269	7901	589	25759	1333	135	42	56	12205	75
246	15	2585	24554	15406	1001	40960	1895	263	72	111	12205	150
257	15	2084	14876	7594	669	23140	1148	129	48	111	12205	150
268	15	2148	17269	7901	589	25759	1333	135	42	111	12205	150
13	0	453	400	867	302	1570	77	35	43	74	5269	100
5	0	405	375	812	283	1470	72	33	40	74	5269	100
17	1	376	353	765	266	1384	68	31	38	74	5269	100
17	0	450	400	867	302	1570	77	35	43	56	5269	75
7	1	403	375	812	283	1470	72	33	40	56	5269	75
23	1	374	353	765	266	1384	68	31	38	56	5269	75
8	0	459	400	867	302	1570	77	35	43	111	5269	150
3	0	411	375	812	283	1470	72	33	40	111	5269	150
12	1	382	353	765	266	1384	68	31	38	111	5269	150
187	23	8740	16705	3986	40297	60988	818	93	1814	74	12205	100
199	20	7981	15976	3571	40377	59924	782	83	1818	74	12205	100
220	21	7522	16380	3672	40396	60449	802	86	1819	74	12205	100
250	31	8737	16705	3986	40297	60988	818	93	1814	56	12205	75
265	26	7978	15976	3571	40377	59924	782	83	1818	56	12205	75
293	28	7519	16380	3672	40396	60449	802	86	1819	56	12205	75
125	15	8745	16705	3986	40297	60988	818	93	1814	111	12205	150
133	13	7986	15976	3571	40377	59924	782	83	1818	111	12205	150
146	14	7527	16380	3672	40396	60449	802	86	1819	111	12205	150
47	15	8486	16723	3238	40458	60419	818	76	1822	74	12205	100
22	13	7794	16206	2892	40427	59525	793	67	1820	74	12205	100
27	13	7377	16545	2957	40436	59939	810	69	1821	74	12205	100
62	20	8483	16723	3238	40458	60419	818	76	1822	56	12205	75
30	17	7791	16206	2892	40427	59525	793	67	1820	56	12205	75
36	17	7374	16545	2957	40436	59939	810	69	1821	56	12205	75
31	10	8492	16723	3238	40458	60419	818	76	1822	111	12205	150
15	9	7799	16206	2892	40427	59525	793	67	1820	111	12205	150
18	9	7382	16545	2957	40436	59939	810	69	1821	111	12205	150
46	12	1999	16098	2992	545	19636	788	70	25	74	12205	100
43	12	1762	15218	2733	450	18401	745	64	20	74	12205	100
44	12	1871	15409	2787	424	18620	754	65	19	74	12205	100
61	16	1996	16098	2992	545	19636	788	70	25	56	12205	75
57	16	1759	15218	2733	450	18401	745	64	20	56	12205	75
58	16	1868	15409	2787	424	18620	754	65	19	56	12205	75
31	8	2005	16098	2992	545	19636	788	70	25	111	12205	150
29	8	1768	15218	2733	450	18401	745	64	20	111	12205	150
29	8	1877	15409	2787	424	18620	754	65	19	111	12205	150
123	5	294	204	375	143	723	20	11	13	74	8118	100
119	5	279	192	353	135	680	19	10	12	74	8118	100
125	6	270	186	342	131	658	18	10	12	74	8118	100
164	7	291	204	375	143	723	20	11	13	56	8118	75
159	6	276	192	353	135	680	19	10	12	56	8118	75
167	8	268	186	342	131	658	18	10	12	56	8118	75
82	4	300	204	375	143	723	20	11	13	111	8118	150
80	3	284	192	353	135	680	19	10	12	111	8118	150
83	4	276	186	342	131	658	18	10	12	111	8118	150
46	4	164	183	336	129	647	18	10	11	74	8118	100
61	4	137	157	288	110	556	15	8	10	74	8118	100
62	4	117	147	269	103	519	14	8	9	74	8118	100
61	5	161	183	336	129	647	18	10	11	56	8118	75
81	5	134	157	288	110	556	15	8	10	56	8118	75
82	6	114	147	269	103	519	14	8	9	56	8118	75
31	2	170	183	336	129	647	18	10	11	111	8118	150
41	3	143	157	288	110	556	15	8	10	111	8118	150
41	3	123	147	269	103	519	14	8	9	111	8118	150
76	3	203	224	411	323	958	22	12	29	74	8118	100
47	2	161	176	323	254	752	17	9	23	74	8118	100
29	2	146	156	285	224	665	15	8	20	74	8118	100
102	4	200	224	411	323	958	22	12	29	56	8118	75
63	3	158	176	323	254	752	17	9	23	56	8118	75
38	3	143	156	285	224	665	15	8	20	56	8118	75
51	2	209	224	411	323	958	22	12	29	111	8118	150
31	2	166	176	323	254	752	17	9	23	111	8118	150
19	2	152	156	285	224	665	15	8	20	111	8118	150
397	36	1429	11867	18043	3739	33649	916	308	269	74	12205	100
381	34	1036	8490	4819	537	13846	655	82	39	74	12205	100
371	35	1023	8771	4864	471	14106	677	83	34	74	12205	100
529	48	1426	11867	18043	3739	33649	916	308	269	56	12205	75
508	45	1033	8490	4819	537	13846	655	82	39	56	12205	75
495	46	1020	8771	4864	471	14106	677	83	34	56	12205	75
265	24	1435	11867	18043	3739	33649	916	308	269	111	12205	150
254	22	1041	8490	4819	537	13846	655	82	39	111	12205	150
248	23	1029	8771	4864	471	14106	677	83	34	111	12205	150
379	24	1565	12232	15484	7197	34913	944	264	517	74	12205	100
352	22	891	8903	8880	3649	21431	687	151	262	74	12205	100
325	22	690	7083	3448	560	11091	547	59	40	74	12205	100
505	32	1562	12232	15484	7197	34913	944	264	517	56	12205	75
469	29	888	8903	8880	3649	21431	687	151	262	56	12205	75
433	30	687	7083	3448	560	11091	547	59	40	56	12205	75
253	16	1570	12232	15484	7197	34913	944	264	517	111	12205	150
234	14	897	8903	8880	3649	21431	687	151	262	111	12205	150
217	15	696	7083	3448	560	11091	547	59	40	111	12205	150
369	22	653	6139	3851	250	10240	474	66	18	74	12205	100
386	22	528	3719	1899	167	5785	287	32	12	74	12205	100
401	23	544	4317	1975	147	6440	333	34	11	74	12205	100
492	30	651	6139	3851	250	10240	474	66	18	56	12205	75
515	30	525	3719	1899	167	5785	287	32	12	56	12205	75
535	30	541	4317	1975	147	6440	333	34	11	56	12205	75
246	15	659	6139	3851	250	10240	474	66	18	111	12205	150
257	15	534	3719	1899	167	5785	287	32	12	111	12205	150
268	15	550	4317	1975	147	6440	333	34	11	111	12205	150
13	0	122	100	217	76	392	19	9	11	74	5269	100
5	0	110	94	203	71	367	18	8	10	74	5269	100
17	1	103	88	191	67	346	17	8	9	74	5269	100
17	0	119	100	217	76	392	19	9	11	56	5269	75
7	1	107	94	203	71	367	18	8	10	56	5269	75
23	1	100	88	191	67	346	17	8	9	56	5269	75
8	0	128	100	217	76	392	19	9	11	111	5269	150
3	0	116	94	203	71	367	18	8	10	111	5269	150
12	1	108	88	191	67	346	17	8	9	111	5269	150
